Reaction id 	 Name 	 Reason why it is unbalance 	 Sum of reactants coefficients 	 Sum of products coefficients 	 Difference between reactants and products 	 It was balanced 	 What was modified 	 Sum of reactants coefficients 	 Sum of products coefficients 	 Difference between reactants and products 
 RXN1G__45__818	 RXN1G-818	The sum of coefficients is different on both sides 	 { P: 1}{ S: 2}{ C: 63}{ X: 2}{ H: 114}{ N: 3}{ O: 12}  	  { P: 1} { C: 63} { S: 2} { X: 2} { H: 115} { N: 3} { O: 12}   	  { H: -1}  	 YES 	 Adding atoms of one element in reactans	 { P: 1}{ S: 2}{ C: 63}{ X: 2}{ H: 112}{ N: 3}{ O: 12} 	 { P: 1}{ C: 63}{ S: 2}{ X: 2}{ H: 115}{ N: 3}{ O: 12} 	 { H: -3} 	 
S__45__2__45__HYDROXY__45__ACID__45__OXIDASE__45__RXN	 S-2-HYDROXY-ACID-OXIDASE-RXN	Reactants and product do not have the same elements  	 { O: 2}  	  { H: 2} { O: 2}   	    	 NO 	  	  - 	 - 	 - 	 - 	 
RXN__45__7801	 RXN-7801	The sum of coefficients is different on both sides 	 { C: 44}{ X: 2}{ H: 79}{ N: 1}{ O: 9}  	  { C: 25} { X: 1} { H: 48} { N: 1} { O: 8}   	  { C: 19}{ X: 1}{ H: 31}{ O: 1}  	 NO 	 Undefined solution by system of equations 	  - 	 - 	 - 	 - 	 
RXN1G__45__840	 RXN1G-840	The sum of coefficients is different on both sides 	 { S: 1}{ C: 3}{ X: 1}{ H: 3}{ O: 3}  	  { C: 1} { S: 1} { X: 1} { H: 2} { O: 2}   	  { C: 2}{ H: 1}{ O: 1}  	 YES 	 Impossible to solve by a system of equations	 { S: 1}{ C: 3}{ X: 1}{ H: 3}{ O: 3} 	 { C: 1}{ S: 1}{ X: 1}{ H: 2}{ O: 2} 	 { C: 2}{ H: 1}{ O: 1} 	 
RXN__45__17812	 RXN-17812	The sum of coefficients is different on both sides 	 { C: 5}{ H: 4}{ O: 7}  	  { C: 6} { H: 6} { O: 7}   	  { C: -1}{ H: -2}  	 YES 	 Impossible to solve by a system of equations	 { C: 5}{ H: 4}{ O: 7} 	 { C: 6}{ H: 6}{ O: 7} 	 { C: -1}{ H: -2} 	 
RXN__45__13684	 RXN-13684	The sum of coefficients is different on both sides 	 { S: 1}{ C: 5}{ X: 1}{ H: 10}{ N: 1}{ O: 4}  	  { S: 1} { C: 5} { X: 1} { H: 9} { N: 1} { O: 4}   	  { H: 1}  	 NO 	  	  - 	 - 	 - 	 - 	 
RXN__45__9556	 RXN-9556	The sum of coefficients is different on both sides 	 { P: 3}{ S: 1}{ C: 22}{ X: 2}{ H: 28}{ N: 7}{ O: 18}  	  { P: 4} { S: 1} { C: 53} { X: 1} { H: 82} { N: 10} { O: 27}   	  { P: -1}{ C: -31}{ X: 1}{ H: -54}{ N: -3}{ O: -9}  	 NO 	 Undefined solution by system of equations 	  - 	 - 	 - 	 - 	 
METHYLVALERATE__45__RXN	 METHYLVALERATE-RXN	Reactants and product do not have the same elements  	 { S: 2}{ C: 21}{ X: 2}{ H: 36}{ N: 2}{ O: 5}  	  { C: 1} { O: 2}   	  { S: 2}{ C: 20}{ X: 2}{ H: 36}{ N: 2}{ O: 3}  	 NO 	  	  - 	 - 	 - 	 - 	 
KETOISOCAPROATE__45__RXN	 KETOISOCAPROATE-RXN	Reactants and product do not have the same elements  	 { S: 2}{ C: 21}{ X: 2}{ H: 36}{ N: 2}{ O: 5}  	  { C: 1} { O: 2}   	  { S: 2}{ C: 20}{ X: 2}{ H: 36}{ N: 2}{ O: 3}  	 NO 	  	  - 	 - 	 - 	 - 	 
RXN__45__11474	 RXN-11474	The sum of coefficients is different on both sides 	 { S: 2}{ C: 7}{ X: 2}{ H: 8}{ O: 6}  	  { S: 2} { C: 7} { X: 2} { H: 9} { O: 6}   	  { H: -1}  	 YES 	 Adding atoms of one element in reactans	 { S: 2}{ C: 7}{ X: 2}{ H: 6}{ O: 6} 	 { S: 2}{ C: 7}{ X: 2}{ H: 9}{ O: 6} 	 { H: -3} 	 
RXN__45__16890	 RXN-16890	Reactants and product do not have the same elements  	 { S: 1}{ C: 21}{ X: 2}{ H: 36}{ N: 10}{ O: 6}  	  { S: 1} { C: 14} { H: 21} { N: 6} { O: 5}   	  { C: 7}{ X: 2}{ H: 15}{ N: 4}{ O: 1}  	 NO 	  	  - 	 - 	 - 	 - 	 
